row,num,hole,max_depth,total_m,large,medim,small,notes
9,20,H,12,0.52,0,0.52,,
9,20,H,18,0,0,0,,
9,20,H,24,0.03,0,0,,
9,20,H,36,0.01,0,0,,
9,20,I,6,0.02,0,0,,
9,20,I,12,0.08,0,0,,
9,20,I,18,,,,,
9,20,I,24,,,,,
9,20,I,36,0.06,0,0,,
9,24,A,6,0.07,0,0,,
9,24,A,12,2.65,2.18,0.45,,
9,24,A,18,0.04,0,0,,
9,24,A,24,0.04,0,0,,
9,24,A,36,,,,,
9,24,B,6,0,0,0,,
9,24,B,12,0.11,0,0,,
9,24,B,18,0,0,0,,
9,24,B,24,0.12,0,0.1,,
9,24,B,36,,,,,
9,24,C,6,0.22,0,0,,
9,24,C,12,0.22,0,0,,
9,24,C,18,0.1,0,0,,
9,24,C,24,,,,,
9,24,C,36,,,,,
9,24,D,6,0.03,0,0,,
9,24,D,12,0.07,0,0,,
9,24,D,18,0,0,0,,
9,24,D,24,0.03,0,0,,
9,24,D,36,0,0,0,,
9,24,E,6,,,,,
9,24,E,12,0.2,0,0,,
9,24,E,18,0,0,0,,
9,24,E,24,0.17,0,0,,
9,24,E,36,,,,,
9,24,F,6,,,,,
9,24,F,12,0.02,0,0,,
9,24,F,18,0.01,0,0,,
9,24,F,24,0.03,0,0,,
9,24,F,36,0.01,0,0,,
9,24,G,6,0.19,0,0.17,,
9,24,G,12,0.22,0,0,,
9,24,G,18,0.01,0,0,,
9,24,G,24,0.08,0,0,,
9,24,G,36,,,,,
9,24,H,6,0.03,0,0,,
9,24,H,12,0.11,0,0,,
9,24,H,18,0.39,0,0.38,,
9,24,H,24,,,,,
9,24,H,36,,,,,
9,24,I,6,,,,,
9,24,I,12,,,,,
9,24,I,18,,,,,
9,24,I,24,,,,,
9,24,I,36,,,,,
9,25,A,6,3.63,2.57,0.51,,
9,25,A,12,20.83,20.46,0.16,,
9,25,A,18,0.02,0,0,,
9,25,A,24,0,0,0,,
9,25,A,36,0.03,0,0,,
9,25,B,6,0.44,0,0.09,,
9,25,B,12,9.37,8.76,0.36,,
9,25,B,18,0.36,0,0.31,,
9,25,B,24,0,0,0,,
9,25,B,36,0.01,0,0,,
9,25,C,6,0.15,0,0,,
9,25,C,12,0.13,0,0,,
9,25,C,18,0.14,0,0,,
9,25,C,24,0.06,0,0,,
9,25,C,36,0.04,0,0,,
9,25,D,6,0.87,0,0.42,,
9,25,D,12,1.42,0.92,0,,
9,25,D,18,0.03,0,0,,
9,25,D,24,0.04,0,0,,
9,25,D,36,0.02,0,0,,
9,25,E,6,0.18,0,0.13,,
9,25,E,12,0.22,0,0.13,,
9,25,E,18,0.1,0,0,,
9,25,E,24,0.03,0,0,,
9,25,E,36,0.02,0,0,,
9,25,F,6,,,,,
9,25,F,12,0.03,0,0,,
9,25,F,18,0.01,0,0,,
9,25,F,24,,,,,
9,25,F,36,,,,,
9,25,G,6,,,,,
9,25,G,12,0.58,0,0.13,,
9,25,G,18,0.37,0,0.11,,
9,25,G,24,0.04,0,0,,
9,25,G,36,0.26,0,0.21,,
9,25,H,6,0.01,0,0,,
9,25,H,12,0.08,0,0,,
9,25,H,18,0.16,0,0.11,,
9,25,H,24,0.02,0,0,,
9,25,H,36,0,0,0,,
9,25,I,6,,,,,
9,25,I,12,,,,,
9,25,I,18,0,0,0,,
9,25,I,24,,,,,
9,25,I,36,,,,,
