"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Subtree)","D~V(Segment)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Subtree)"
"71","       - X + X^2","0.2  ,  -0.12  ,  0.053  ,  3.77","-1.06  ,  0.58  ,  0.618  ,  -5.54","-5.55  ,  2  ,  0.799  ,  -3.52","0.81  ,  -0.02  ,  0.854  ,  -31.33","0.23  ,  0.05  ,  0.984  ,  -59.62","0.19  ,  0.02  ,  0.78  ,  -31.33","0.18  ,  0.02  ,  0.926  ,  -58.35","0.63  ,  -0.05  ,  0.07  ,  3.33","0.88  ,  -0.04  ,  0.825  ,  -25.08","-0.77  ,  0.13  ,  0.906  ,  -22.52","-0.58  ,  0.13  ,  0.408  ,  -6.51","0.12  ,  0.04  ,  0.861  ,  -42.83","1.58  ,  -0.13  ,  0.372  ,  -6.51","1.98  ,  -0.16  ,  0.916  ,  -43.44","0.05  ,  0.09  ,  0.959  ,  -43.02","0.33  ,  -0.03  ,  0.066  ,  3.42","0.72  ,  -0.04  ,  0.812  ,  -23.22","-0.24  ,  0.13  ,  0.897  ,  -20.26","1.9  ,  -0.05  ,  0.768  ,  4.25","0.37  ,  0.62  ,  0.927  ,  -9.89","0.56  ,  0.04  ,  0.986  ,  -66.56","0.79  ,  0.02  ,  0.994  ,  -71.16"
"72","JM.8-2+ - X","-0.22  ,         ,  0.052  ,  1.8","0.99  ,         ,  0.605  ,  -6.68","1.55  ,         ,  0.721  ,  2.75","0.56  ,         ,  0.853  ,  -33.21","0.79  ,         ,  0.982  ,  -58","0.44  ,         ,  0.779  ,  -33.21","0.36  ,         ,  0.924  ,  -59.97","0.12  ,         ,  0.065  ,  1.45","0.43  ,         ,  0.821  ,  -26.45","0.64  ,         ,  0.885  ,  -19.49","0.52  ,         ,  0.403  ,  -8.34","0.43  ,         ,  0.859  ,  -44.43","0.48  ,         ,  0.368  ,  -8.34","0.56  ,         ,  0.888  ,  -38.2","0.83  ,         ,  0.954  ,  -42.63","0.12  ,         ,  0.064  ,  1.47","0.43  ,         ,  0.807  ,  -24.63","0.64  ,         ,  0.877  ,  -17.71","1.74  ,         ,  0.768  ,  2.26","2.56  ,         ,  0.924  ,  -10.72","0.98  ,         ,  0.986  ,  -67.3","0.99  ,         ,  0.994  ,  -72.4"
"73","       - X + X^2","0.2  ,  -0.12  ,  0.053  ,  3.77","-1.06  ,  0.58  ,  0.618  ,  -5.54","-5.55  ,  2  ,  0.799  ,  -3.52","0.81  ,  -0.02  ,  0.854  ,  -31.33","0.23  ,  0.05  ,  0.984  ,  -59.62","0.19  ,  0.02  ,  0.78  ,  -31.33","0.18  ,  0.02  ,  0.926  ,  -58.35","0.63  ,  -0.05  ,  0.07  ,  3.33","0.88  ,  -0.04  ,  0.825  ,  -25.08","-0.77  ,  0.13  ,  0.906  ,  -22.52","-0.58  ,  0.13  ,  0.408  ,  -6.51","0.12  ,  0.04  ,  0.861  ,  -42.83","1.58  ,  -0.13  ,  0.372  ,  -6.51","1.98  ,  -0.16  ,  0.916  ,  -43.44","0.05  ,  0.09  ,  0.959  ,  -43.02","0.33  ,  -0.03  ,  0.066  ,  3.42","0.72  ,  -0.04  ,  0.812  ,  -23.22","-0.24  ,  0.13  ,  0.897  ,  -20.26","1.9  ,  -0.05  ,  0.768  ,  4.25","0.37  ,  0.62  ,  0.927  ,  -9.89","0.56  ,  0.04  ,  0.986  ,  -66.56","0.79  ,  0.02  ,  0.994  ,  -71.16"
"74","JM.8-3 - X","-0.37  ,         ,  0.169  ,  -5.69","0.78  ,         ,  0.485  ,  -7.14","1.48  ,         ,  0.665  ,  4.46","0.51  ,         ,  0.809  ,  -30.95","0.79  ,         ,  0.976  ,  -45.52","0.49  ,         ,  0.795  ,  -30.95","0.37  ,         ,  0.92  ,  -50.62","0.02  ,         ,  0.002  ,  -1.83","0.37  ,         ,  0.745  ,  -21.92","0.65  ,         ,  0.861  ,  -14.07","0.58  ,         ,  0.365  ,  -7.23","0.44  ,         ,  0.835  ,  -35.53","0.42  ,         ,  0.228  ,  -7.23","0.49  ,         ,  0.846  ,  -32.45","0.86  ,         ,  0.949  ,  -35.05","0.01  ,         ,  0.001  ,  -1.8","0.38  ,         ,  0.709  ,  -19.14","0.68  ,         ,  0.846  ,  -11.86","1.48  ,         ,  0.791  ,  -9.14","2.4  ,         ,  0.936  ,  -17.36","0.9  ,         ,  0.975  ,  -53.72","0.95  ,         ,  0.989  ,  -53.46"
"75","       - X + X^2","-3.61  ,  0.88  ,  0.217  ,  -4.93","-2.51  ,  0.89  ,  0.518  ,  -6.51","-7.2  ,  2.37  ,  0.75  ,  0.29","0.75  ,  -0.02  ,  0.81  ,  -28.99","0.3  ,  0.04  ,  0.977  ,  -44.49","0.25  ,  0.02  ,  0.795  ,  -28.99","0.19  ,  0.02  ,  0.92  ,  -48.8","0.49  ,  -0.04  ,  0.004  ,  0.12","1.19  ,  -0.07  ,  0.756  ,  -20.82","-0.72  ,  0.12  ,  0.872  ,  -13.84","-7  ,  0.91  ,  0.461  ,  -8.69","-0.28  ,  0.08  ,  0.842  ,  -34.49","8  ,  -0.91  ,  0.345  ,  -8.69","2.47  ,  -0.22  ,  0.89  ,  -37.65","0.42  ,  0.05  ,  0.95  ,  -33.39","0.18  ,  -0.03  ,  0.001  ,  0.19","0.71  ,  -0.05  ,  0.713  ,  -17.41","-0.43  ,  0.16  ,  0.862  ,  -12.14","-1.27  ,  0.75  ,  0.801  ,  -8.19","-1.33  ,  1.02  ,  0.945  ,  -18.35","0.62  ,  0.03  ,  0.975  ,  -51.91","0.61  ,  0.03  ,  0.989  ,  -52.17"
"76","PiAu.5683 - X","-0.61  ,         ,  0.239  ,  20.84","0.71  ,         ,  0.392  ,  -11.33","1.45  ,         ,  0.639  ,  22.7","0.55  ,         ,  0.716  ,  -73.36","0.8  ,         ,  0.979  ,  -193.61","0.45  ,         ,  0.625  ,  -73.36","0.36  ,         ,  0.87  ,  -160.92","0.1  ,         ,  0.022  ,  41.7","0.38  ,         ,  0.716  ,  -74.69","0.67  ,         ,  0.889  ,  -75.26","0.3  ,         ,  0.118  ,  -2.29","0.43  ,         ,  0.779  ,  -117.21","0.7  ,         ,  0.424  ,  -2.29","0.49  ,         ,  0.799  ,  -103.08","0.86  ,         ,  0.961  ,  -161.23","0.12  ,         ,  0.027  ,  41.25","0.39  ,         ,  0.701  ,  -70.41","0.69  ,         ,  0.891  ,  -76.59","1.25  ,         ,  0.569  ,  21.68","2.28  ,         ,  0.851  ,  0.29","0.91  ,         ,  0.943  ,  -145.49","0.95  ,         ,  0.975  ,  -148.92"
"77","       - X + X^2","-0.61  ,  0  ,  0.239  ,  22.84","-1.34  ,  0.57  ,  0.406  ,  -11.33","-7.14  ,  2.37  ,  0.739  ,  -2.4","1.49  ,  -0.09  ,  0.727  ,  -74.46","0.55  ,  0.02  ,  0.98  ,  -193.65","-0.49  ,  0.09  ,  0.639  ,  -74.46","-0.04  ,  0.04  ,  0.875  ,  -162.69","1.99  ,  -0.18  ,  0.058  ,  40.6","1.66  ,  -0.11  ,  0.762  ,  -87.18","-0.14  ,  0.07  ,  0.896  ,  -78.76","-2.53  ,  0.35  ,  0.167  ,  -5.05","-0.35  ,  0.09  ,  0.797  ,  -122.18","3.53  ,  -0.35  ,  0.456  ,  -5.05","2.44  ,  -0.22  ,  0.885  ,  -147.42","0.6  ,  0.03  ,  0.961  ,  -160.51","1.44  ,  -0.21  ,  0.065  ,  39.91","1.31  ,  -0.13  ,  0.753  ,  -84.08","0.25  ,  0.07  ,  0.896  ,  -78.33","-0.56  ,  0.5  ,  0.575  ,  22.63","-2.98  ,  1.45  ,  0.871  ,  -9.91","0.31  ,  0.06  ,  0.945  ,  -146.53","0.47  ,  0.04  ,  0.977  ,  -151.71"
"78","PiAu.5683-1 - X","-0.84  ,         ,  0.418  ,  0.35","0.72  ,         ,  0.407  ,  -7.05","1.61  ,         ,  0.672  ,  6.78","0.5  ,         ,  0.58  ,  -21.61","0.83  ,         ,  0.98  ,  -62.09","0.5  ,         ,  0.574  ,  -21.61","0.37  ,         ,  0.885  ,  -55.73","0.01  ,         ,  0  ,  14.44","0.37  ,         ,  0.688  ,  -23.73","0.74  ,         ,  0.903  ,  -24.77","0.15  ,         ,  0.024  ,  -0.05","0.42  ,         ,  0.801  ,  -41.36","0.85  ,         ,  0.427  ,  -0.05","0.46  ,         ,  0.764  ,  -31.04","0.91  ,         ,  0.968  ,  -54.02","0  ,         ,  0  ,  14.44","0.36  ,         ,  0.662  ,  -21.65","0.74  ,         ,  0.883  ,  -19.91","1.12  ,         ,  0.566  ,  -0.42","2.37  ,         ,  0.898  ,  -10.98","0.96  ,         ,  0.968  ,  -68.26","0.98  ,         ,  0.989  ,  -68.2"
"79","       - X + X^2","-3.59  ,  0.74  ,  0.432  ,  1.73","-4.09  ,  1.3  ,  0.464  ,  -7.65","-12.23  ,  3.75  ,  0.824  ,  -7.38","0.6  ,  -0.01  ,  0.58  ,  -19.61","0.32  ,  0.04  ,  0.981  ,  -61.36","0.4  ,  0.01  ,  0.574  ,  -19.61","0.35  ,  0  ,  0.885  ,  -53.74","0.19  ,  -0.02  ,  0  ,  16.43","2.09  ,  -0.15  ,  0.726  ,  -25.15","-0.49  ,  0.11  ,  0.909  ,  -24.51","-13.75  ,  1.67  ,  0.327  ,  -7.71","-0.4  ,  0.09  ,  0.811  ,  -40.71","14.75  ,  -1.67  ,  0.605  ,  -7.71","3.37  ,  -0.31  ,  0.865  ,  -43.56","0.88  ,  0  ,  0.968  ,  -52.02","-0.07  ,  0.01  ,  0  ,  16.44","1.31  ,  -0.13  ,  0.689  ,  -21.83","-0.21  ,  0.13  ,  0.891  ,  -19.93","-1.75  ,  0.78  ,  0.578  ,  0.89","-5.29  ,  2.08  ,  0.927  ,  -17.55","0.07  ,  0.08  ,  0.97  ,  -67.62","0.74  ,  0.02  ,  0.989  ,  -66.54"
"80","PiAu.5683-2 - X","-0.44  ,         ,  0.171  ,  5.1","0.83  ,         ,  0.519  ,  -3.01","1.43  ,         ,  0.678  ,  5.5","0.54  ,         ,  0.777  ,  -19.21","0.79  ,         ,  0.981  ,  -45.16","0.46  ,         ,  0.719  ,  -19.21","0.38  ,         ,  0.9  ,  -39.88","0.08  ,         ,  0.017  ,  8.51","0.41  ,         ,  0.797  ,  -20.27","0.65  ,         ,  0.891  ,  -16.13","0.44  ,         ,  0.246  ,  0.5","0.45  ,         ,  0.821  ,  -28.29","0.56  ,         ,  0.342  ,  0.5","0.54  ,         ,  0.876  ,  -30.08","0.85  ,         ,  0.961  ,  -36.45","0.07  ,         ,  0.012  ,  8.62","0.4  ,         ,  0.766  ,  -17.42","0.65  ,         ,  0.871  ,  -12.74","1.5  ,         ,  0.719  ,  3.68","2.39  ,         ,  0.913  ,  -6.08","0.95  ,         ,  0.976  ,  -45.46","0.99  ,         ,  0.99  ,  -49.68"
"81","       - X + X^2","-3.19  ,  0.75  ,  0.194  ,  6.55","-3.64  ,  1.22  ,  0.572  ,  -3.32","-8.52  ,  2.72  ,  0.792  ,  -1.26","0.65  ,  -0.01  ,  0.777  ,  -17.22","0.44  ,  0.03  ,  0.982  ,  -43.87","0.35  ,  0.01  ,  0.719  ,  -17.22","0.24  ,  0.01  ,  0.9  ,  -37.97","0.31  ,  -0.02  ,  0.018  ,  10.51","1.16  ,  -0.07  ,  0.807  ,  -19.25","-0.45  ,  0.1  ,  0.9  ,  -15.86","-5.72  ,  0.74  ,  0.311  ,  0.7","-0.18  ,  0.07  ,  0.827  ,  -26.97","6.72  ,  -0.74  ,  0.398  ,  0.7","2.36  ,  -0.2  ,  0.913  ,  -35.16","0.39  ,  0.05  ,  0.962  ,  -34.98","-0.03  ,  0.02  ,  0.012  ,  10.61","0.8  ,  -0.06  ,  0.773  ,  -15.98","-0.18  ,  0.12  ,  0.883  ,  -12.71","-1.25  ,  0.75  ,  0.727  ,  5.08","-2.54  ,  1.34  ,  0.927  ,  -7.44","0.48  ,  0.04  ,  0.977  ,  -44.04","0.85  ,  0.01  ,  0.99  ,  -47.82"
"82","PiAu.5683-3 - X","-0.59  ,         ,  0.215  ,  20.57","0.65  ,         ,  0.329  ,  7.01","1.38  ,         ,  0.61  ,  19.53","0.57  ,         ,  0.73  ,  -23.13","0.79  ,         ,  0.98  ,  -79.01","0.43  ,         ,  0.613  ,  -23.13","0.36  ,         ,  0.849  ,  -58.01","0.13  ,         ,  0.036  ,  28.17","0.37  ,         ,  0.691  ,  -21.68","0.65  ,         ,  0.89  ,  -27.44","0.29  ,         ,  0.119  ,  7.3","0.42  ,         ,  0.751  ,  -39.48","0.71  ,         ,  0.451  ,  7.3","0.49  ,         ,  0.78  ,  -34.25","0.85  ,         ,  0.961  ,  -65.32","0.19  ,         ,  0.062  ,  27.15","0.39  ,         ,  0.689  ,  -21.42","0.69  ,         ,  0.907  ,  -33.69","1.18  ,         ,  0.504  ,  23.64","2.18  ,         ,  0.803  ,  17.75","0.88  ,         ,  0.923  ,  -45.3","0.93  ,         ,  0.966  ,  -47.18"
"83","       - X + X^2","0.03  ,  -0.17  ,  0.216  ,  22.51","0.02  ,  0.18  ,  0.33  ,  8.93","-5.72  ,  1.99  ,  0.692  ,  12.79","1.8  ,  -0.12  ,  0.749  ,  -23.89","0.71  ,  0.01  ,  0.98  ,  -77.14","-0.8  ,  0.12  ,  0.641  ,  -23.89","-0.18  ,  0.05  ,  0.862  ,  -59.41","2.6  ,  -0.24  ,  0.105  ,  27.41","1.9  ,  -0.14  ,  0.773  ,  -31.17","0.15  ,  0.05  ,  0.894  ,  -26.69","-1.83  ,  0.27  ,  0.156  ,  7.73","-0.46  ,  0.1  ,  0.782  ,  -42.43","2.83  ,  -0.27  ,  0.474  ,  7.73","2.43  ,  -0.22  ,  0.896  ,  -59.83","0.72  ,  0.01  ,  0.961  ,  -63.53","1.84  ,  -0.27  ,  0.133  ,  26.22","1.45  ,  -0.16  ,  0.779  ,  -32.09","0.45  ,  0.04  ,  0.909  ,  -32.47","-0.41  ,  0.45  ,  0.508  ,  25.28","-2.5  ,  1.31  ,  0.822  ,  16.01","0.58  ,  0.03  ,  0.924  ,  -43.59","0.49  ,  0.04  ,  0.967  ,  -46.84"
"84","PiAu.5683-3+ - X","-0.44  ,         ,  0.171  ,  5.1","0.83  ,         ,  0.519  ,  -3.01","1.43  ,         ,  0.678  ,  5.5","0.54  ,         ,  0.777  ,  -19.21","0.79  ,         ,  0.981  ,  -45.16","0.46  ,         ,  0.719  ,  -19.21","0.38  ,         ,  0.9  ,  -39.88","0.08  ,         ,  0.017  ,  8.51","0.41  ,         ,  0.797  ,  -20.27","0.65  ,         ,  0.891  ,  -16.13","0.44  ,         ,  0.246  ,  0.5","0.45  ,         ,  0.821  ,  -28.29","0.56  ,         ,  0.342  ,  0.5","0.54  ,         ,  0.876  ,  -30.08","0.85  ,         ,  0.961  ,  -36.45","0.07  ,         ,  0.012  ,  8.62","0.4  ,         ,  0.766  ,  -17.42","0.65  ,         ,  0.871  ,  -12.74","1.5  ,         ,  0.719  ,  3.68","2.39  ,         ,  0.913  ,  -6.08","0.95  ,         ,  0.976  ,  -45.46","0.99  ,         ,  0.99  ,  -49.68"
"85","       - X + X^2","-3.19  ,  0.75  ,  0.194  ,  6.55","-3.64  ,  1.22  ,  0.572  ,  -3.32","-8.52  ,  2.72  ,  0.792  ,  -1.26","0.65  ,  -0.01  ,  0.777  ,  -17.22","0.44  ,  0.03  ,  0.982  ,  -43.87","0.35  ,  0.01  ,  0.719  ,  -17.22","0.24  ,  0.01  ,  0.9  ,  -37.97","0.31  ,  -0.02  ,  0.018  ,  10.51","1.16  ,  -0.07  ,  0.807  ,  -19.25","-0.45  ,  0.1  ,  0.9  ,  -15.86","-5.72  ,  0.74  ,  0.311  ,  0.7","-0.18  ,  0.07  ,  0.827  ,  -26.97","6.72  ,  -0.74  ,  0.398  ,  0.7","2.36  ,  -0.2  ,  0.913  ,  -35.16","0.39  ,  0.05  ,  0.962  ,  -34.98","-0.03  ,  0.02  ,  0.012  ,  10.61","0.8  ,  -0.06  ,  0.773  ,  -15.98","-0.18  ,  0.12  ,  0.883  ,  -12.71","-1.25  ,  0.75  ,  0.727  ,  5.08","-2.54  ,  1.34  ,  0.927  ,  -7.44","0.48  ,  0.04  ,  0.977  ,  -44.04","0.85  ,  0.01  ,  0.99  ,  -47.82"
