species,tree,branch,date,parent,order,bearing,opp_length_cm,declination,length_cm,diameter_mm,root_dia,no_twigs,no_spurs,no_scars,stem_m,tot_stem_mO,tot_stem_m,twig_m,leaf_m,flower_m,length_ratio,diameter_ratio,mass_ratio
apple,6,2,64,1,2,,,,96.5,41.8,,10,1,22,834.9,,834.9,995.4,,,1.135,0.464,0.219
apple,6,3,64,1,2,,,,183,32.5,,27,5,29,883.7,,883.7,1020.2,,,2.153,0.361,0.231
apple,6,4,64,1,2,,,,165,27.3,,21,1,31,725.9,,725.9,415.7,,,1.941,0.303,0.19
apple,6,5,64,1,2,,,,84,37.8,,6,1,18,504,,504,393.2,,,0.988,0.42,0.132
apple,6,6,64,1,1,,,,92.5,53.6,,7,1,18,1452.8,,8716.8,631.5,,,1.088,0.596,0.38
apple,6,7,64,6,2,,,,79,22.1,,8,0,5,157.6,,157.6,112.4,,,0.854,0.412,0.108
apple,6,8,64,6,1,,,,30,50.1,,1,0,6,330.4,,1652,1.5,,,0.324,0.935,0.227
apple,6,9,64,8,2,,,,34.5,14.3,,6,0,9,43.5,,43.5,59.3,,,1.15,0.285,0.132
apple,6,10,64,8,2,,,,107,20.4,,20,0,15,232.2,,232.2,121,,,3.567,0.407,0.703
apple,6,11,64,8,1,,,,61,41.7,,4,1,10,445.5,,1336.5,326.1,,,2.033,0.832,1.348
apple,6,12,64,11,2,,,,61,16.7,,10,1,13,97.7,,97.7,70.6,,,1,0.4,0.219
apple,6,13,64,11,2,,,,49,16.8,,8,2,9,83.8,,83.8,84.9,,,0.803,0.403,0.188
apple,6,14,64,11,2,,,,106,19.5,,5,20,10,204.5,,204.5,79.2,,,1.738,0.468,0.459
apple,7,1,64,0,1,,,,62.5,55,,0,0,7,1095.4,,4381.6,0,,,NA,NA,NA
apple,7,2,64,1,2,,,,82.5,25.8,,7,0,16,243,,243,226.5,,,1.32,0.469,0.222
apple,7,3,64,1,1,,,,11.5,46,,0,0,2,111.3,,333.9,0,,,0.184,0.836,0.102
apple,7,4,64,3,2,,,,71,19,,5,0,8,128,,128,93,,,6.174,0.413,1.15
apple,7,5,64,3,1,,,,7.5,47.1,,0,0,1,65.1,,130.2,393.7,,,0.652,1.024,0.585
apple,7,6,64,5,2,,,,72,23.6,,6,0,19,147,,147,147.2,,,9.6,0.501,2.258
apple,7,7,64,5,1,,,,93,35.3,,6,0,27,374.8,,374.8,380.8,,,12.4,0.749,5.757
apple,7,8,64,7,2,,,,17.5,76,,5,0,15,95.2,,95.2,88.7,,,0.188,2.153,0.254
apple,8,1,66,0,1,,,,70,90,,0,0,6,3057,,21399,0,,,NA,NA,NA
apple,8,2,66,1,2,,,,130,36.5,,16,0,17,801.5,,801.5,677.1,,,1.857,0.406,0.262
apple,8,3,66,1,1,,,,15.5,92,,0,0,2,440.2,,2641.2,0,,,0.221,1.022,0.144
apple,8,4,66,3,2,,,,158,37.7,,16,3,21,817.8,,817.8,534.1,,,10.194,0.41,1.858
apple,8,5,66,3,2,,,,198,23.6,,30,3,24,673.6,,673.6,,,,12.774,0.257,1.53
apple,8,6,66,3,2,,,,225,29.9,,25,6,28,1056.3,,1056.3,473.5,,,14.516,0.325,2.4
apple,8,7,66,3,1,,,,48.5,57.7,,5,2,15,797.6,,2392.8,157.9,,,3.129,0.627,1.812
apple,8,8,66,7,2,,,,119,26.5,,14,5,10,364.9,,364.9,255,,,2.454,0.459,0.457
apple,8,9,66,7,1,,,,43,51,,1,0,13,541.8,,1083.6,87,,,0.887,0.884,0.679
apple,8,10,66,9,2,,,,126,22.8,,15,17,8,393.6,,393.6,242.2,,,2.93,0.447,0.726
apple,8,11,66,9,2,,,,96,37.1,,10,3,15,572.3,,572.3,568.4,,,2.233,0.727,1.056
apple,9,1,66,0,1,,,,83,110,,0,0,5,5749,,51741,0,,,NA,NA,NA
apple,9,2,66,1,2,,,,76,43.4,,9,0,12,679.7,,679.7,223.1,,,0.916,0.395,0.118
apple,9,3,66,2,3,,,,145,24.6,,27,1,19,315,,315,195,,,1.908,0.567,0.463
apple,9,4,66,1,2,,,,107,44.2,,7,0,21,1129.2,,1129.2,659.1,,,1.289,0.402,0.196
apple,9,5,66,4,2,,,,150.5,30,,19,0,8,503.1,,503.1,393.6,,,1.407,0.679,0.446
apple,9,6,66,1,2,,,,71,33.7,,6,0,12,376.7,,376.7,314.2,,,0.855,0.306,0.066
apple,9,7,66,1,1,,,,19,79,,1,1,9,619.1,,3714.6,21.2,,,0.229,0.718,0.108
apple,9,8,66,7,2,,,,43,29.2,,7,0,4,172.8,,172.8,175.7,,,2.263,0.37,0.279
apple,9,9,66,7,1,,,,12,75.5,,3,0,5,379.7,,1898.5,10.1,,,0.632,0.956,0.613
apple,9,10,66,9,2,,,,161.5,19.7,,24,0,21,320.6,,320.6,169.8,,,13.458,0.261,0.844
apple,9,11,66,9,1,,,,72,68.8,,5,1,30,1485.3,,5941.2,411.5,,,6,0.911,3.912
apple,9,12,66,11,2,,,,108,24.5,,12,1,22,328.8,,328.8,166.5,,,1.5,0.356,0.221
apple,9,13,66,11,1,,,,28.5,59.5,,1,0,5,481.7,,1445.1,191.2,,,0.396,0.865,0.324
apple,9,14,66,13,2,,,,130,18.5,,20,0,10,214.1,,214.1,94.6,,,4.561,0.311,0.444
apple,9,15,66,13,2,,,,105,22.9,,15,0,11,255,,255,144.2,,,3.684,0.385,0.529
apple,9,16,66,13,1,,,,53,43.4,,5,0,10,474.7,,474.7,183.8,,,1.86,0.729,0.985
apple,9,17,66,16,1,,,,161.5,24.3,,22,1,25,568.9,,568.9,445,,,3.047,0.56,1.198
apple,10,1,78,0,1,,,,86,100.8,,0,3,4,5293.1,,47637.9,1,,,NA,NA,NA
apple,10,2,78,1,2,,,,143,34.2,,17,2,26,823.6,,823.6,232.1,,,1.663,0.339,0.156
apple,10,3,78,1,2,,,,187,30.8,,25,1,30,967.9,,967.9,343.8,,,2.174,0.306,0.183
apple,10,4,78,1,2,,,,209,44.6,,28,9,43,2197.9,,2197.9,969.5,,,2.43,0.442,0.415
apple,10,5,78,1,2,,,,85,50,,12,1,13,1085.9,,1085.9,666.5,,,0.988,0.496,0.205
apple,10,6,78,5,3,,,,38.5,29.5,,5,2,6,240.2,,240.2,257.8,,,0.453,0.59,0.221
apple,10,7,78,1,1,,,,67,60,,4,2,31,1542.8,,7714,92.7,,,0.779,0.595,0.291
apple,10,8,78,7,2,,,,164,17.2,,20,2,19,349.1,,349.1,171.7,,,2.448,0.287,0.226
